Base Symbol,Manufacturer,MPN,Value,Package Description,Footprint,Height (mm),Tolerance (%),Datasheet,Voltage (capacitor),Dielectric (capacitor)
C,Kemet,C0603C300G5GACTU,30p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C209D5GACTU,2p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.5 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C439K5GACTU,4p3,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C180D3GACTU,18p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.5 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C470G5GACTU,47p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C569C1GACTU,5p6,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,100V,NP0/C0G
C,Kemet,C0603C240J4GACTU,24p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,16V,NP0/C0G
C,Kemet,C0603C829C3GACTU,8p2,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C139C5GACTU,1p3,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C750G5GACTU,75p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C200C5GACTU,20p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C339C3GACTU,3p3,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C240C5GACTU,24p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C100K2GACTU,10p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,200V,NP0/C0G
C,Kemet,C0603C220K1GAC7411,22p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,100V,NP0/C0G
C,Kemet,C0603C470F5GAC7411,47p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C479B5GACTU,4p7,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.1 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C180G1GACTU,18p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,100V,NP0/C0G
C,Kemet,C0603C510G5GACTU,51p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C689C8GACTU,6p8,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,10V,NP0/C0G
C,Kemet,C0603C240G3GACTU,24p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C399B5GACTU,3p9,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.1 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C159C3GACTU,1p5,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C120D3GACTU,12p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.5 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C510K5GACTU,51p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C909C5GACTU,9p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C470G4GACTU,47p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,16V,NP0/C0G
C,Kemet,C0603C910G5GACTU,91p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C119C5GACTU,1p1,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C200K3GACTU,20p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C360F5GACTU,36p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C470K8GACTU,47p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,10V,NP0/C0G
C,Kemet,C0603C829J1GACTU,8p2,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,100V,NP0/C0G
C,Kemet,C0603C121JAGACTU,120p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,250V,NP0/C0G
C,Kemet,C0603C221K5GAC7411,220p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
